time	ke_at_point[J/kg]
0	401.051
0.0005	309.416
0.001	308.501
0.0015	309.275
0.002	309.79
0.0025	310.802
0.003	311.868
0.0035	313.571
0.004	314.753
0.0045	315.616
0.005	316.402
0.0055	316.805
0.006	317.173
0.0065	318.815
0.007	318.977
0.0075	320.261
0.008	320.506
0.0085	321.586
0.009	321.032
0.0095	322.474
0.01	322.972
0.0105	323.385
0.011	323.857
0.0115	325.114
0.012	324.647
0.0125	326.007
0.013	325.774
0.0135	327.118
0.014	327.124
0.0145	327.801
0.015	328.422
0.0155	328.687
0.016	329.287
0.0165	328.758
0.017	330.313
0.0175	329.829
0.018	330.01
0.0185	331.099
0.019	331.664
0.0195	332.698
0.02	332.641
0.0205	333.056
0.021	333.812
0.0215	333.535
0.022	334.258
0.0225	334.461
0.023	333.159
0.0235	333.74
0.024	332.057
0.0245	332.196
0.025	333.61
0.0255	334.402
0.026	337.267
0.0265	336.828
0.027	337.618
0.0275	337.298
0.028	338.726
0.0285	336.726
0.029	337.907
0.0295	339.272
0.03	340.335
0.0305	340.873
0.031	342.367
0.0315	341.768
0.032	342.741
0.0325	341.641
0.033	342.373
0.0335	342.418
0.034	343.123
0.0345	343.215
0.035	343.898
0.0355	343.248
0.036	343.411
0.0365	342.408
0.037	342.564
0.0375	342.973
0.038	343.21
0.0385	344.462
0.039	344.577
0.0395	344.291
0.04	344.818
0.0405	344.335
0.041	343.973
0.0415	343.333
0.042	342.395
0.0425	344.832
0.043	346.129
0.0435	349.109
0.044	349.701
0.0445	349.72
0.045	349.032
0.0455	348.838
0.046	349.149
0.0465	350.365
0.047	350.16
0.0475	351.394
0.048	351.391
0.0485	352.134
0.049	351.992
0.0495	352.426
0.05	352.326
0.0505	352.93
0.051	353.688
0.0515	353.742
0.052	352.91
0.0525	353.901
0.053	354.06
0.0535	352.211
0.054	353.28
0.0545	352.652
0.055	353.072
0.0555	352.066
0.056	354.197
0.0565	352.47
0.057	353.31
0.0575	354.798
0.058	354.607
0.0585	355.294
0.059	356.145
0.0595	356.529
0.06	357.025
0.0605	356.273
0.061	357.078
0.0615	356.155
0.062	357.463
0.0625	356.608
0.063	359.289
0.0635	359.395
0.064	362.147
0.0645	361.743
0.065	362.904
0.0655	361.649
0.066	362.035
0.0665	361.042
0.067	360.494
0.0675	356.295
0.068	352.365
0.0685	348.091
0.069	344.325
0.0695	342.356
0.07	341.802
0.0705	343.582
0.071	346.787
0.0715	349.971
0.072	351.828
0.0725	353.415
0.073	354.925
0.0735	357.548
0.074	358.282
0.0745	359.805
0.075	360.196
0.0755	360.846
0.076	359.972
0.0765	360.594
0.077	359.768
0.0775	357.69
0.078	353.615
0.0785	348.514
0.079	342.772
0.0795	336.542
0.08	331.937
0.0805	330.721
0.081	332.226
0.0815	336.646
0.082	342.481
0.0825	345.226
0.083	344.119
0.0835	340.534
0.084	339.073
0.0845	337.379
0.085	340.867
0.0855	347.164
0.086	353.795
0.0865	361.028
0.087	365.52
0.0875	367.143
0.088	366.025
0.0885	363.458
0.089	363.394
